Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)	Begin File	Delta Freq (Hz)	USV TYPE
705	Spectrogram 1	1	260.399113309	260.437523492	0.038	48976.6	71907.2	56640.6	55664.1	ch1-2018-11-20_10-23-08_0000008.wav	22930.6	ST
706	Spectrogram 1	1	260.691569798	260.729755361	0.038	54580.9	69931.8	66894.5	66894.5	ch1-2018-11-20_10-23-08_0000008.wav	15350.9	FM
707	Spectrogram 1	1	260.893601995	260.919208785	0.026	54824.6	65714.3	61523.4	62011.7	ch1-2018-11-20_10-23-08_0000008.wav	10889.7	FM
708	Spectrogram 1	1	261.164045631	261.211216032	0.047	53362.6	63840.2	60546.9	60058.6	ch1-2018-11-20_10-23-08_0000008.wav	10477.6	FM
709	Spectrogram 1	1	266.770097129	266.880161399	0.110	55412.4	87475.6	83007.8	83984.4	ch1-2018-11-20_10-23-08_0000008.wav	32063.2	CMP
710	Spectrogram 1	1	266.947547687	267.023020329	0.075	62621.8	89181.3	83496.1	82519.5	ch1-2018-11-20_10-23-08_0000008.wav	26559.5	FM
711	Spectrogram 1	1	267.106803947	267.138026261	0.031	63402.1	84064.3	81543.0	82519.5	ch1-2018-11-20_10-23-08_0000008.wav	20662.2	CMP
712	Spectrogram 1	1	267.250336741	267.295710174	0.045	57748.5	80165.7	69824.2	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	22417.2	FM
713	Spectrogram 1	1	267.736365184	267.765116667	0.029	75048.7	81140.4	76660.2	76171.9	ch1-2018-11-20_10-23-08_0000008.wav	6091.7	FM
714	Spectrogram 1	1	267.941219499	268.040052722	0.099	90643.3	103313.8	98144.5	100097.7	ch1-2018-11-20_10-23-08_0000008.wav	12670.5	FM
715	Spectrogram 1	1	268.075093592	268.111482187	0.036	78703.7	101120.9	96191.4	96191.4	ch1-2018-11-20_10-23-08_0000008.wav	22417.2	FM
716	Spectrogram 1	1	269.041784334	269.054812349	0.013	76510.7	82358.7	79589.8	79589.8	ch1-2018-11-20_10-23-08_0000008.wav	5848.0	FL
717	Spectrogram 1	1	269.642092092	269.648830721	0.007	70175.4	76510.7	73730.5	73730.5	ch1-2018-11-20_10-23-08_0000008.wav	6335.3	SH
718	Spectrogram 1	1	269.707906033	269.768778314	0.061	47758.3	78350.5	74218.8	74707.0	ch1-2018-11-20_10-23-08_0000008.wav	30592.2	CMP
719	Spectrogram 1	1	269.993399273	270.002384112	0.009	73214.3	78928.6	75683.6	76171.9	ch1-2018-11-20_10-23-08_0000008.wav	5714.3	SH
720	Spectrogram 1	1	270.541870545	270.568825060	0.027	65058.5	76510.7	75195.3	75195.3	ch1-2018-11-20_10-23-08_0000008.wav	11452.2	IU
721	Spectrogram 1	1	270.681584782	270.686077201	0.004	64083.8	67982.5	65918.0	65918.0	ch1-2018-11-20_10-23-08_0000008.wav	3898.7	SH
722	Spectrogram 1	1	270.708090056	270.718422620	0.010	75292.4	79922.0	77636.7	77636.7	ch1-2018-11-20_10-23-08_0000008.wav	4629.6	SH
723	Spectrogram 1	1	270.743580167	270.748521828	0.005	77485.4	79678.4	78613.3	78613.3	ch1-2018-11-20_10-23-08_0000008.wav	2193.0	SH
724	Spectrogram 1	1	270.781765730	270.822646745	0.041	76998.1	82358.7	79589.8	80078.1	ch1-2018-11-20_10-23-08_0000008.wav	5360.6	FL
725	Spectrogram 1	1	271.358269063	271.372195563	0.014	66520.5	70175.4	67871.1	67871.1	ch1-2018-11-20_10-23-08_0000008.wav	3654.9	FL
726	Spectrogram 1	1	271.669593714	271.691606568	0.022	63840.2	67495.1	65918.0	64941.4	ch1-2018-11-20_10-23-08_0000008.wav	3654.9	FL
727	Spectrogram 1	1	272.498465498	272.514638208	0.016	64814.8	67982.5	66894.5	66894.5	ch1-2018-11-20_10-23-08_0000008.wav	3167.7	FL
728	Spectrogram 1	1	273.133019351	273.216578349	0.084	41666.7	71637.4	61035.2	68359.4	ch1-2018-11-20_10-23-08_0000008.wav	29970.7	ST
729	Spectrogram 1	1	273.369769843	273.419186454	0.049	59210.5	66494.8	64453.1	61523.4	ch1-2018-11-20_10-23-08_0000008.wav	7284.3	FM
730	Spectrogram 1	1	274.125517105	274.184817038	0.059	55555.6	69444.4	64453.1	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	13888.8	RP
731	Spectrogram 1	1	274.381584999	274.396409982	0.015	64571.2	68469.8	66894.5	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	3898.6	FL
732	Spectrogram 1	1	275.025098933	275.061936770	0.037	61890.8	67007.8	63964.8	63964.8	ch1-2018-11-20_10-23-08_0000008.wav	5117.0	FL
733	Spectrogram 1	1	275.942632842	275.980706095	0.038	61340.2	68226.1	65918.0	66894.5	ch1-2018-11-20_10-23-08_0000008.wav	6885.9	CMP
734	Spectrogram 1	1	276.879087666	276.925808826	0.047	53606.2	61159.8	59082.0	60058.6	ch1-2018-11-20_10-23-08_0000008.wav	7553.6	FM
735	Spectrogram 1	1	277.095622272	277.120330577	0.025	54093.6	58235.9	56152.3	55664.1	ch1-2018-11-20_10-23-08_0000008.wav	4142.3	FL
736	Spectrogram 1	1	277.229496363	277.287448571	0.058	46540.0	60916.2	56152.3	56152.3	ch1-2018-11-20_10-23-08_0000008.wav	14376.2	FM
737	Spectrogram 1	1	278.874591202	278.946469909	0.072	55555.6	66033.1	63476.6	60546.9	ch1-2018-11-20_10-23-08_0000008.wav	10477.5	FM
738	Spectrogram 1	1	279.097864436	279.140542418	0.043	47514.6	57017.5	51757.8	51757.8	ch1-2018-11-20_10-23-08_0000008.wav	9502.9	FM
739	Spectrogram 1	1	279.267481257	279.305666820	0.038	50194.9	53849.9	52246.1	52734.4	ch1-2018-11-20_10-23-08_0000008.wav	3655.0	FL
740	Spectrogram 1	1	279.490550671	279.562878620	0.072	54337.2	60672.5	56640.6	56640.6	ch1-2018-11-20_10-23-08_0000008.wav	6335.3	FM
741	Spectrogram 1	1	279.712925421	279.792890483	0.080	55068.2	70175.4	66894.5	68359.4	ch1-2018-11-20_10-23-08_0000008.wav	15107.2	FM
742	Spectrogram 1	1	279.963577655	280.025123798	0.062	48976.6	63840.2	51757.8	51757.8	ch1-2018-11-20_10-23-08_0000008.wav	14863.6	RP
743	Spectrogram 1	1	280.059290941	280.092060844	0.033	64327.5	68713.5	65918.0	65918.0	ch1-2018-11-20_10-23-08_0000008.wav	4386.0	CMP
744	Spectrogram 1	1	280.247923033	280.327438853	0.080	54337.2	61647.2	56640.6	56640.6	ch1-2018-11-20_10-23-08_0000008.wav	7310.0	FM
745	Spectrogram 1	1	280.629329423	280.635169568	0.006	63840.2	67982.5	66406.2	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	4142.3	SH
746	Spectrogram 1	1	281.051163630	281.094627785	0.043	58966.9	64571.2	62988.3	62988.3	ch1-2018-11-20_10-23-08_0000008.wav	5604.3	CMP
747	Spectrogram 1	1	281.587831900	281.595918255	0.008	65302.1	69688.1	67871.1	67871.1	ch1-2018-11-20_10-23-08_0000008.wav	4386.0	SH
748	Spectrogram 1	1	281.855130842	281.884780809	0.030	61647.2	65789.5	64453.1	64453.1	ch1-2018-11-20_10-23-08_0000008.wav	4142.3	FL
749	Spectrogram 1	1	282.240355430	282.343231830	0.103	55068.2	71134.0	64941.4	65429.7	ch1-2018-11-20_10-23-08_0000008.wav	16065.8	CMP
750	Spectrogram 1	1	282.473062744	282.531913436	0.059	64870.3	71393.8	69335.9	69335.9	ch1-2018-11-20_10-23-08_0000008.wav	6523.5	FM
751	Spectrogram 1	1	283.116945171	283.127726977	0.011	63872.3	68226.1	66406.2	65918.0	ch1-2018-11-20_10-23-08_0000008.wav	4353.8	SH
752	Spectrogram 1	1	283.257108650	283.289454068	0.032	62378.2	75292.4	67871.1	68359.4	ch1-2018-11-20_10-23-08_0000008.wav	12914.2	RP
753	Spectrogram 1	1	283.792481948	283.906140153	0.114	56773.9	71150.1	68847.7	68847.7	ch1-2018-11-20_10-23-08_0000008.wav	14376.2	CMP
754	Spectrogram 1	1	283.947021168	283.953759797	0.007	65058.5	67738.8	66406.2	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	2680.3	SH
755	Spectrogram 1	1	284.068740971	284.139721195	0.071	40204.7	76023.4	63964.8	63964.8	ch1-2018-11-20_10-23-08_0000008.wav	35818.7	CMP
756	Spectrogram 1	1	284.583270079	284.771727065	0.188	58479.5	70360.8	65429.7	67871.1	ch1-2018-11-20_10-23-08_0000008.wav	11881.3	CMP
757	Spectrogram 1	1	285.251790853	285.342537721	0.091	42154.0	56530.2	48828.1	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	14376.2	FM
758	Spectrogram 1	1	285.594807861	285.624008585	0.029	57992.2	64814.8	59570.3	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	6822.6	FM
759	Spectrogram 1	1	286.711096162	286.789938119	0.079	48489.3	73969.1	57128.9	57128.9	ch1-2018-11-20_10-23-08_0000008.wav	25479.8	CMP
760	Spectrogram 1	1	287.039941247	287.075431358	0.035	50925.9	54824.6	52734.4	52246.1	ch1-2018-11-20_10-23-08_0000008.wav	3898.7	FL
761	Spectrogram 1	1	287.212874628	287.265435933	0.053	55799.2	65545.8	62988.3	61035.2	ch1-2018-11-20_10-23-08_0000008.wav	9746.6	FM
762	Spectrogram 1	1	287.410541073	287.481072054	0.071	49951.3	57017.5	51757.8	51757.8	ch1-2018-11-20_10-23-08_0000008.wav	7066.2	FM
763	Spectrogram 1	1	287.613475351	287.668282865	0.055	38742.7	65058.5	62988.3	62988.3	ch1-2018-11-20_10-23-08_0000008.wav	26315.8	ST
764	Spectrogram 1	1	288.243982430	288.277226332	0.033	57992.2	62378.2	60546.9	60546.9	ch1-2018-11-20_10-23-08_0000008.wav	4386.0	FL
765	Spectrogram 1	1	288.396275440	288.446590535	0.050	58479.5	76267.1	65429.7	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	17787.6	RP
766	Spectrogram 1	1	288.827873855	288.916374513	0.089	38499.0	72368.4	60058.6	68359.4	ch1-2018-11-20_10-23-08_0000008.wav	33869.4	ST
767	Spectrogram 1	1	289.044857702	289.088434169	0.044	63109.2	72124.8	67871.1	68359.4	ch1-2018-11-20_10-23-08_0000008.wav	9015.6	FM
768	Spectrogram 1	1	289.114490200	289.127967458	0.013	66764.1	71150.1	68847.7	68847.7	ch1-2018-11-20_10-23-08_0000008.wav	4386.0	FL
769	Spectrogram 1	1	289.219163567	289.253305953	0.034	52144.2	64571.2	60546.9	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	12427.0	FM
770	Spectrogram 1	1	289.575008368	289.626221947	0.051	55799.2	64327.5	60546.9	62988.3	ch1-2018-11-20_10-23-08_0000008.wav	8528.3	FM
771	Spectrogram 1	1	289.806367957	289.867015616	0.061	62134.5	68226.1	66406.2	66894.5	ch1-2018-11-20_10-23-08_0000008.wav	6091.6	FM
772	Spectrogram 1	1	289.970491965	290.001040415	0.031	56530.2	62134.5	60546.9	60546.9	ch1-2018-11-20_10-23-08_0000008.wav	5604.3	FL
773	Spectrogram 1	1	290.441995758	290.484673741	0.043	54093.6	65058.5	56640.6	56640.6	ch1-2018-11-20_10-23-08_0000008.wav	10964.9	FM
774	Spectrogram 1	1	290.624387977	290.644603864	0.020	62621.8	71150.1	68359.4	68359.4	ch1-2018-11-20_10-23-08_0000008.wav	8528.3	RP
775	Spectrogram 1	1	290.995510601	291.091648372	0.096	32651.1	61890.8	54687.5	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	29239.7	ST
776	Spectrogram 1	1	291.581370862	291.627193538	0.046	50194.9	61159.8	58593.8	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	10964.9	FM
777	Spectrogram 1	1	292.177837464	292.220964688	0.043	46540.0	52387.9	49804.7	49804.7	ch1-2018-11-20_10-23-08_0000008.wav	5847.9	FL
778	Spectrogram 1	1	292.350346361	292.437948535	0.088	35087.7	60916.2	56152.3	56152.3	ch1-2018-11-20_10-23-08_0000008.wav	25828.5	ST
779	Spectrogram 1	1	292.706468536	292.826865371	0.120	62621.8	70662.8	67382.8	65429.7	ch1-2018-11-20_10-23-08_0000008.wav	8041.0	FM
780	Spectrogram 1	1	292.982752317	293.020039396	0.037	51656.9	60672.5	56640.6	56640.6	ch1-2018-11-20_10-23-08_0000008.wav	9015.6	FM
781	Spectrogram 1	1	293.123512148	293.175848831	0.052	58966.9	70662.8	66894.5	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	11695.9	CMP
782	Spectrogram 1	1	293.336452818	293.536814714	0.200	33382.1	69444.4	59570.3	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	36062.3	CMP
783	Spectrogram 1	1	293.667968597	293.734481159	0.067	49951.3	67738.8	63964.8	64453.1	ch1-2018-11-20_10-23-08_0000008.wav	17787.5	CMP
784	Spectrogram 1	1	293.988351641	294.038217494	0.050	59454.2	68041.2	63964.8	65918.0	ch1-2018-11-20_10-23-08_0000008.wav	8587.0	CMP
785	Spectrogram 1	1	294.366935912	294.385354831	0.018	62134.5	65789.5	64453.1	64453.1	ch1-2018-11-20_10-23-08_0000008.wav	3655.0	FL
786	Spectrogram 1	1	294.542140261	294.599193984	0.057	51900.6	73099.4	60058.6	60058.6	ch1-2018-11-20_10-23-08_0000008.wav	21198.8	RP
787	Spectrogram 1	1	294.930509542	295.006319116	0.076	50257.7	63596.5	59082.0	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	13338.8	CMP
788	Spectrogram 1	1	295.231950870	295.252166756	0.020	54580.9	58235.9	56640.6	56640.6	ch1-2018-11-20_10-23-08_0000008.wav	3655.0	FL
789	Spectrogram 1	1	296.426308953	296.509418708	0.083	40204.7	72164.9	66406.2	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	31960.2	ST
790	Spectrogram 1	1	296.635206445	296.665754896	0.031	62865.5	72124.8	66406.2	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	9259.3	RP
791	Spectrogram 1	1	297.088087500	297.119534435	0.031	58235.9	67982.5	65429.7	65429.7	ch1-2018-11-20_10-23-08_0000008.wav	9746.6	FM
792	Spectrogram 1	1	297.144242740	297.235888092	0.092	60428.8	75048.7	65918.0	66406.2	ch1-2018-11-20_10-23-08_0000008.wav	14619.9	FM
793	Spectrogram 1	1	297.348198572	297.400759876	0.053	60567.0	68713.5	63964.8	64453.1	ch1-2018-11-20_10-23-08_0000008.wav	8146.5	CMP
794	Spectrogram 1	1	297.908627508	297.981404699	0.073	58723.2	65789.5	62988.3	62988.3	ch1-2018-11-20_10-23-08_0000008.wav	7066.3	FM
795	Spectrogram 1	1	298.114004620	298.169261377	0.055	58966.9	69931.8	67382.8	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	10964.9	FM
796	Spectrogram 1	1	298.316612726	298.344016483	0.027	45809.0	50438.6	48828.1	49316.4	ch1-2018-11-20_10-23-08_0000008.wav	4629.6	FL
797	Spectrogram 1	1	298.595016049	298.707775771	0.113	55068.2	64083.8	59570.3	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	9015.6	FM
798	Spectrogram 1	1	298.731936523	298.746185955	0.014	63659.8	72855.8	68359.4	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	9196.0	CMP
799	Spectrogram 1	1	298.867705894	298.909036151	0.041	52631.6	60185.2	56152.3	55664.1	ch1-2018-11-20_10-23-08_0000008.wav	7553.6	FM
800	Spectrogram 1	1	299.871136161	299.944025662	0.073	45321.6	68299.0	55175.8	54687.5	ch1-2018-11-20_10-23-08_0000008.wav	22977.4	CMP
801	Spectrogram 1	1	300.374609686	300.399767234	0.025	63596.5	68957.1	66894.5	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	5360.6	FL
802	Spectrogram 1	1	300.578565518	300.639213177	0.061	50194.9	73586.7	62500.0	67871.1	ch1-2018-11-20_10-23-08_0000008.wav	23391.8	RP
803	Spectrogram 1	1	301.193303570	301.214642561	0.021	62371.1	74074.1	68359.4	68847.7	ch1-2018-11-20_10-23-08_0000008.wav	11703.0	CMP
804	Spectrogram 1	1	301.328750009	301.372101854	0.043	61890.8	74742.3	68359.4	68847.7	ch1-2018-11-20_10-23-08_0000008.wav	12851.5	CMP
805	Spectrogram 1	1	301.849417438	301.990704022	0.141	36855.7	73586.7	40527.3	40039.1	ch1-2018-11-20_10-23-08_0000008.wav	36731.0	CMP
806	Spectrogram 1	1	302.316821703	302.377918604	0.061	41423.0	50925.9	48339.8	49316.4	ch1-2018-11-20_10-23-08_0000008.wav	9502.9	FM
807	Spectrogram 1	1	302.466500012	302.498764681	0.032	46783.6	61159.8	55175.8	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	14376.2	FM
808	Spectrogram 1	1	303.339050173	303.371844833	0.033	56286.5	65058.5	62988.3	62011.7	ch1-2018-11-20_10-23-08_0000008.wav	8772.0	FM
809	Spectrogram 1	1	303.548846149	303.573105213	0.024	47758.3	63109.2	59570.3	60058.6	ch1-2018-11-20_10-23-08_0000008.wav	15350.9	FM
810	Spectrogram 1	1	303.747411078	303.768525448	0.021	47027.3	52631.6	50781.2	50781.2	ch1-2018-11-20_10-23-08_0000008.wav	5604.3	FL
811	Spectrogram 1	1	303.933895272	303.961299029	0.027	52631.6	62865.5	59082.0	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	10233.9	FM
812	Spectrogram 1	1	304.118982943	304.151777603	0.033	50682.3	64571.2	62500.0	62011.7	ch1-2018-11-20_10-23-08_0000008.wav	13888.9	FM
813	Spectrogram 1	1	304.471163851	304.497893745	0.027	57261.2	67525.8	63476.6	63964.8	ch1-2018-11-20_10-23-08_0000008.wav	10264.6	FM
814	Spectrogram 1	1	304.646368199	304.680510585	0.034	54580.9	68713.5	65918.0	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	14132.6	FM
815	Spectrogram 1	1	304.916285083	304.932907034	0.017	54123.7	64433.0	60546.9	62988.3	ch1-2018-11-20_10-23-08_0000008.wav	10309.3	FM
816	Spectrogram 1	1	304.998271733	305.031066393	0.033	39230.0	68957.1	62011.7	64941.4	ch1-2018-11-20_10-23-08_0000008.wav	29727.1	CMP
817	Spectrogram 1	1	306.390643592	306.428379913	0.038	54337.2	62621.8	59570.3	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	8284.6	FM
818	Spectrogram 1	1	306.982621372	307.006431194	0.024	49463.9	55799.2	53222.7	52734.4	ch1-2018-11-20_10-23-08_0000008.wav	6335.3	FM
819	Spectrogram 1	1	309.472957329	309.499911844	0.027	52875.2	60672.5	57617.2	57617.2	ch1-2018-11-20_10-23-08_0000008.wav	7797.3	TR
820	Spectrogram 1	1	311.768982549	311.801777209	0.033	57017.5	88694.0	65918.0	65918.0	ch1-2018-11-20_10-23-08_0000008.wav	31676.5	ST
821	Spectrogram 1	1	312.300656405	312.320423049	0.020	51413.3	66520.5	63476.6	65429.7	ch1-2018-11-20_10-23-08_0000008.wav	15107.2	ST
822	Spectrogram 1	1	312.483497866	312.505510720	0.022	39171.7	87574.9	62988.3	63476.6	ch1-2018-11-20_10-23-08_0000008.wav	48403.2	CMP
823	Spectrogram 1	1	313.128612501	313.176007524	0.047	44072.2	76267.1	46875.0	73730.5	ch1-2018-11-20_10-23-08_0000008.wav	32194.9	ST
824	Spectrogram 1	1	313.479933289	313.521963780	0.042	60916.2	82857.1	74707.0	76171.9	ch1-2018-11-20_10-23-08_0000008.wav	21940.9	RP
825	Spectrogram 1	1	314.052323488	314.143070355	0.091	55799.2	69931.8	62011.7	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	14132.6	FM
826	Spectrogram 1	1	314.329505752	314.386559476	0.057	63109.2	75779.7	66406.2	65918.0	ch1-2018-11-20_10-23-08_0000008.wav	12670.5	FM
827	Spectrogram 1	1	314.962332595	315.049485527	0.087	55068.2	74074.1	64453.1	63476.6	ch1-2018-11-20_10-23-08_0000008.wav	19005.9	FM
828	Spectrogram 1	1	315.268266342	315.280845116	0.013	68957.1	72368.4	70800.8	70800.8	ch1-2018-11-20_10-23-08_0000008.wav	3411.3	FL
829	Spectrogram 1	1	316.337184020	316.352458245	0.015	40692.0	43859.6	42968.8	42968.8	ch1-2018-11-20_10-23-08_0000008.wav	3167.6	FL
830	Spectrogram 1	1	317.442515050	317.446558227	0.004	61647.2	65058.5	63476.6	63964.8	ch1-2018-11-20_10-23-08_0000008.wav	3411.3	SH
831	Spectrogram 1	1	317.490583935	317.547637659	0.057	46296.3	58479.5	54687.5	54687.5	ch1-2018-11-20_10-23-08_0000008.wav	12183.2	FM
832	Spectrogram 1	1	319.784633125	319.842585332	0.058	54824.6	60628.7	58593.8	58593.8	ch1-2018-11-20_10-23-08_0000008.wav	5804.1	FL
833	Spectrogram 1	1	320.458446490	320.526731261	0.068	56286.5	63352.8	60546.9	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	7066.3	FM
834	Spectrogram 1	1	322.202648327	322.296539888	0.094	38986.4	69200.8	62500.0	63964.8	ch1-2018-11-20_10-23-08_0000008.wav	30214.4	CMP
835	Spectrogram 1	1	322.835401615	322.918511370	0.083	49707.6	60428.8	54199.2	54199.2	ch1-2018-11-20_10-23-08_0000008.wav	10721.2	FM
836	Spectrogram 1	1	322.973543505	323.026778673	0.053	35567.0	64571.2	62988.3	63476.6	ch1-2018-11-20_10-23-08_0000008.wav	29004.2	ST
837	Spectrogram 1	1	323.603482228	323.664579129	0.061	46540.0	58235.9	54199.2	54199.2	ch1-2018-11-20_10-23-08_0000008.wav	11695.9	FM
838	Spectrogram 1	1	324.371980131	324.411962662	0.040	48245.6	57504.9	54687.5	54687.5	ch1-2018-11-20_10-23-08_0000008.wav	9259.3	FM
839	Spectrogram 1	1	324.624454090	324.689594168	0.065	57261.2	65545.8	61523.4	64453.1	ch1-2018-11-20_10-23-08_0000008.wav	8284.6	FM
840	Spectrogram 1	1	325.056950988	325.110410777	0.053	42885.0	60185.2	53710.9	53710.9	ch1-2018-11-20_10-23-08_0000008.wav	17300.2	FM
841	Spectrogram 1	1	325.304483286	325.324699172	0.020	61403.5	64814.8	63476.6	63476.6	ch1-2018-11-20_10-23-08_0000008.wav	3411.3	FL
842	Spectrogram 1	1	325.585030909	325.680719438	0.096	38255.4	61890.8	50293.0	50293.0	ch1-2018-11-20_10-23-08_0000008.wav	23635.4	TR
843	Spectrogram 1	1	326.102083601	326.176882381	0.075	36340.2	60185.2	58105.5	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	23845.0	ST
844	Spectrogram 1	1	326.579431137	326.621210636	0.042	45565.3	57017.5	49804.7	49804.7	ch1-2018-11-20_10-23-08_0000008.wav	11452.2	RP
845	Spectrogram 1	1	327.847633165	327.878630857	0.031	61159.8	74074.1	70312.5	71289.1	ch1-2018-11-20_10-23-08_0000008.wav	12914.3	RP
846	Spectrogram 1	1	328.919997667	328.929880989	0.010	58479.5	61647.2	60058.6	60058.6	ch1-2018-11-20_10-23-08_0000008.wav	3167.7	SH
847	Spectrogram 1	1	330.419962966	330.510035971	0.090	38011.7	79639.2	63476.6	64453.1	ch1-2018-11-20_10-23-08_0000008.wav	41627.5	CMP
848	Spectrogram 1	1	330.660532014	330.707253174	0.047	62865.5	68713.5	65429.7	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	5848.0	FL
849	Spectrogram 1	1	330.823410206	330.836887464	0.013	57261.2	60672.5	59570.3	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	3411.3	FL
850	Spectrogram 1	1	331.203615981	331.301101477	0.097	46296.3	65789.5	54199.2	54199.2	ch1-2018-11-20_10-23-08_0000008.wav	19493.2	FM
851	Spectrogram 1	1	331.341533250	331.347822637	0.006	57261.2	66276.8	64453.1	64941.4	ch1-2018-11-20_10-23-08_0000008.wav	9015.6	SH
852	Spectrogram 1	1	332.749351202	332.822577635	0.073	36306.0	63109.2	39550.8	39062.5	ch1-2018-11-20_10-23-08_0000008.wav	26803.2	ST
853	Spectrogram 1	1	334.273575565	334.313782717	0.040	61855.7	68957.1	67382.8	67382.8	ch1-2018-11-20_10-23-08_0000008.wav	7101.4	CMP
854	Spectrogram 1	1	334.449004534	334.472814356	0.024	58966.9	66276.8	62988.3	62500.0	ch1-2018-11-20_10-23-08_0000008.wav	7309.9	RP
855	Spectrogram 1	1	334.948782214	334.994604890	0.046	33382.1	59697.9	38085.9	57128.9	ch1-2018-11-20_10-23-08_0000008.wav	26315.8	ST
856	Spectrogram 1	1	335.651617242	335.680817966	0.029	46296.3	60672.5	59082.0	59570.3	ch1-2018-11-20_10-23-08_0000008.wav	14376.2	FM
857	Spectrogram 1	1	335.741465626	335.767970899	0.027	46540.0	56530.2	55175.8	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	9990.2	FM
858	Spectrogram 1	1	335.967434311	335.988099439	0.021	51656.9	60428.8	56152.3	56152.3	ch1-2018-11-20_10-23-08_0000008.wav	8771.9	FM
859	Spectrogram 1	1	336.095450696	336.115666582	0.020	46296.3	59210.5	57128.9	58105.5	ch1-2018-11-20_10-23-08_0000008.wav	12914.2	FM
860	Spectrogram 1	1	336.197428611	336.223035401	0.026	44347.0	62378.2	59082.0	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	18031.2	FM
861	Spectrogram 1	1	336.311536059	336.323890212	0.012	41666.7	56530.2	54687.5	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	14863.5	FM
862	Spectrogram 1	1	336.412232609	336.440534850	0.028	35575.0	62378.2	38085.9	37109.4	ch1-2018-11-20_10-23-08_0000008.wav	26803.2	ST
863	Spectrogram 1	1	336.516456735	336.558236233	0.042	43372.3	73852.3	54687.5	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	30480.0	TR
864	Spectrogram 1	1	336.721563667	336.746721215	0.025	45078.0	63352.8	61523.4	62011.7	ch1-2018-11-20_10-23-08_0000008.wav	18274.8	FM
865	Spectrogram 1	1	337.115973315	337.163143717	0.047	36306.0	63352.8	55175.8	55175.8	ch1-2018-11-20_10-23-08_0000008.wav	27046.8	ST
866	Spectrogram 1	1	337.431765627	337.456024691	0.024	48976.6	60916.2	59082.0	60058.6	ch1-2018-11-20_10-23-08_0000008.wav	11939.6	FM
867	Spectrogram 1	1	337.550814736	337.582261670	0.031	45321.6	62865.5	57617.2	59082.0	ch1-2018-11-20_10-23-08_0000008.wav	17543.9	FM
868	Spectrogram 1	1	337.758167878	337.783774668	0.026	53849.9	63109.2	61035.2	61523.4	ch1-2018-11-20_10-23-08_0000008.wav	9259.3	FM
869	Spectrogram 1	1	337.865985939	337.898331357	0.032	54580.9	65058.5	62011.7	62011.7	ch1-2018-11-20_10-23-08_0000008.wav	10477.6	FM
870	Spectrogram 1	1	337.982788838	338.014685014	0.032	52631.6	65302.1	62500.0	63964.8	ch1-2018-11-20_10-23-08_0000008.wav	12670.5	FM
871	Spectrogram 1	1	338.195076447	338.223378687	0.028	56773.9	64083.8	61523.4	62500.0	ch1-2018-11-20_10-23-08_0000008.wav	7309.9	FM
872	Spectrogram 1	1	338.673845263	338.743028519	0.069	46540.0	56042.9	50781.2	51269.5	ch1-2018-11-20_10-23-08_0000008.wav	9502.9	FM
873	Spectrogram 1	1	340.549846851	340.574105914	0.024	48732.9	55799.2	52734.4	52734.4	ch1-2018-11-20_10-23-08_0000008.wav	7066.3	FM
874	Spectrogram 1	1	340.685068668	340.694053507	0.009	52387.9	57504.9	56152.3	56152.3	ch1-2018-11-20_10-23-08_0000008.wav	5117.0	SH
875	Spectrogram 1	1	343.992031361	344.023702917	0.032	54123.7	89433.0	61523.4	61523.4	ch1-2018-11-20_10-23-08_0000008.wav	35309.3	CMP
